 91981/100000: episode: 2367, duration: 2.919s, episode steps:  27, steps per second:   9, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.259 [0.000, 3.000],  loss: 0.001972, mae: 0.272051, mean_q: 0.381847, mean_eps: 0.917230
 93681/100000: episode: 2407, duration: 2.647s, episode steps:  31, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.548 [0.000, 3.000],  loss: 0.001883, mae: 0.286381, mean_q: 0.395908, mean_eps: 0.915701
 93707/100000: episode: 2408, duration: 2.137s, episode steps:  26, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.615 [0.000, 3.000],  loss: 0.002332, mae: 0.271423, mean_q: 0.381618, mean_eps: 0.915676
 93733/100000: episode: 2409, duration: 2.240s, episode steps:  26, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.385 [0.000, 3.000],  loss: 0.002604, mae: 0.271315, mean_q: 0.376326, mean_eps: 0.915652
 93766/100000: episode: 2410, duration: 4.070s, episode steps:  33, steps per second:   8, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.576 [0.000, 3.000],  loss: 0.001473, mae: 0.271668, mean_q: 0.387039, mean_eps: 0.915626
 93791/100000: episode: 2411, duration: 2.105s, episode steps:  25, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.640 [0.000, 3.000],  loss: 0.002286, mae: 0.261155, mean_q: 0.363519, mean_eps: 0.915600
 93818/100000: episode: 2412, duration: 2.229s, episode steps:  27, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.519 [0.000, 3.000],  loss: 0.003053, mae: 0.270038, mean_q: 0.378094, mean_eps: 0.915576
 93874/100000: episode: 2413, duration: 4.539s, episode steps:  56, steps per second:  12, episode reward:  1.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 1.446 [0.000, 3.000],  loss: 0.002202, mae: 0.257902, mean_q: 0.362245, mean_eps: 0.915539
 93905/100000: episode: 2414, duration: 3.824s, episode steps:  31, steps per second:   8, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.742 [0.000, 3.000],  loss: 0.001573, mae: 0.275729, mean_q: 0.387464, mean_eps: 0.915500
 93936/100000: episode: 2415, duration: 2.749s, episode steps:  31, steps per second:  11, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.839 [0.000, 3.000],  loss: 0.002002, mae: 0.273516, mean_q: 0.372963, mean_eps: 0.915472
 93963/100000: episode: 2416, duration: 2.225s, episode steps:  27, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.444 [0.000, 3.000],  loss: 0.002695, mae: 0.253889, mean_q: 0.357022, mean_eps: 0.915446
 93998/100000: episode: 2417, duration: 2.876s, episode steps:  35, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.714 [0.000, 3.000],  loss: 0.001957, mae: 0.279311, mean_q: 0.391975, mean_eps: 0.915418
 94031/100000: episode: 2418, duration: 2.841s, episode steps:  33, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.818 [0.000, 3.000],  loss: 0.002441, mae: 0.258076, mean_q: 0.366406, mean_eps: 0.915387
 94056/100000: episode: 2419, duration: 3.262s, episode steps:  25, steps per second:   8, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.320 [0.000, 3.000],  loss: 0.001892, mae: 0.250339, mean_q: 0.347523, mean_eps: 0.915361
 94086/100000: episode: 2420, duration: 2.495s, episode steps:  30, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.600 [0.000, 3.000],  loss: 0.002373, mae: 0.251683, mean_q: 0.351767, mean_eps: 0.915337
 94162/100000: episode: 2421, duration: 6.157s, episode steps:  76, steps per second:  12, episode reward:  1.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 1.566 [0.000, 3.000],  loss: 0.002190, mae: 0.268267, mean_q: 0.375347, mean_eps: 0.915289
 94218/100000: episode: 2422, duration: 5.977s, episode steps:  56, steps per second:   9, episode reward:  1.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 1.696 [0.000, 3.000],  loss: 0.002302, mae: 0.280621, mean_q: 0.390666, mean_eps: 0.915229
 94271/100000: episode: 2423, duration: 4.398s, episode steps:  53, steps per second:  12, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.679 [0.000, 3.000],  loss: 0.002189, mae: 0.270201, mean_q: 0.382960, mean_eps: 0.915180
 94296/100000: episode: 2424, duration: 2.160s, episode steps:  25, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.520 [0.000, 3.000],  loss: 0.001522, mae: 0.255404, mean_q: 0.356328, mean_eps: 0.915145
 94323/100000: episode: 2425, duration: 2.450s, episode steps:  27, steps per second:  11, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.741 [0.000, 3.000],  loss: 0.002549, mae: 0.267479, mean_q: 0.373311, mean_eps: 0.915122
 94348/100000: episode: 2426, duration: 3.275s, episode steps:  25, steps per second:   8, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.400 [0.000, 3.000],  loss: 0.002820, mae: 0.270599, mean_q: 0.385126, mean_eps: 0.915099
 94379/100000: episode: 2427, duration: 2.651s, episode steps:  31, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.548 [0.000, 3.000],  loss: 0.001617, mae: 0.274969, mean_q: 0.383243, mean_eps: 0.915073
 94433/100000: episode: 2428, duration: 4.490s, episode steps:  54, steps per second:  12, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.481 [0.000, 3.000],  loss: 0.002648, mae: 0.273225, mean_q: 0.382872, mean_eps: 0.915035
 94488/100000: episode: 2429, duration: 5.881s, episode steps:  55, steps per second:   9, episode reward:  1.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 1.473 [0.000, 3.000],  loss: 0.002858, mae: 0.265919, mean_q: 0.370998, mean_eps: 0.914986
 94564/100000: episode: 2430, duration: 6.453s, episode steps:  76, steps per second:  12, episode reward:  1.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 1.684 [0.000, 3.000],  loss: 0.001502, mae: 0.262450, mean_q: 0.368613, mean_eps: 0.914927
 94602/100000: episode: 2431, duration: 3.203s, episode steps:  38, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.368 [0.000, 3.000],  loss: 0.002347, mae: 0.272065, mean_q: 0.378512, mean_eps: 0.914876
 94627/100000: episode: 2432, duration: 3.329s, episode steps:  25, steps per second:   8, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.920 [0.000, 3.000],  loss: 0.001785, mae: 0.267311, mean_q: 0.383120, mean_eps: 0.914847
 94652/100000: episode: 2433, duration: 2.374s, episode steps:  25, steps per second:  11, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.280 [0.000, 3.000],  loss: 0.001614, mae: 0.277132, mean_q: 0.385863, mean_eps: 0.914825
 94679/100000: episode: 2434, duration: 2.302s, episode steps:  27, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.222 [0.000, 3.000],  loss: 0.001468, mae: 0.277386, mean_q: 0.393767, mean_eps: 0.914802
 94706/100000: episode: 2435, duration: 2.268s, episode steps:  27, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.407 [0.000, 3.000],  loss: 0.002370, mae: 0.260790, mean_q: 0.364346, mean_eps: 0.914777
 94732/100000: episode: 2436, duration: 2.235s, episode steps:  26, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.615 [0.000, 3.000],  loss: 0.003000, mae: 0.255360, mean_q: 0.363600, mean_eps: 0.914753
 94763/100000: episode: 2437, duration: 3.619s, episode steps:  31, steps per second:   9, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.774 [0.000, 3.000],  loss: 0.002466, mae: 0.278114, mean_q: 0.393753, mean_eps: 0.914728
 94796/100000: episode: 2438, duration: 3.327s, episode steps:  33, steps per second:  10, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.242 [0.000, 3.000],  loss: 0.002990, mae: 0.267696, mean_q: 0.374802, mean_eps: 0.914699
 94821/100000: episode: 2439, duration: 2.193s, episode steps:  25, steps per second:  11, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.400 [0.000, 3.000],  loss: 0.001470, mae: 0.250872, mean_q: 0.355222, mean_eps: 0.914673
 94874/100000: episode: 2440, duration: 4.569s, episode steps:  53, steps per second:  12, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.623 [0.000, 3.000],  loss: 0.001868, mae: 0.260685, mean_q: 0.362522, mean_eps: 0.914638
 94899/100000: episode: 2441, duration: 2.926s, episode steps:  25, steps per second:   9, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 2.000 [0.000, 3.000],  loss: 0.001652, mae: 0.248169, mean_q: 0.349520, mean_eps: 0.914603
 94925/100000: episode: 2442, duration: 2.880s, episode steps:  26, steps per second:   9, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.462 [0.000, 3.000],  loss: 0.001699, mae: 0.254687, mean_q: 0.356663, mean_eps: 0.914580
 94979/100000: episode: 2443, duration: 4.579s, episode steps:  54, steps per second:  12, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.352 [0.000, 3.000],  loss: 0.002165, mae: 0.262022, mean_q: 0.367662, mean_eps: 0.914544
 95004/100000: episode: 2444, duration: 2.181s, episode steps:  25, steps per second:  11, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.360 [0.000, 3.000],  loss: 0.002441, mae: 0.270334, mean_q: 0.382766, mean_eps: 0.914508
 95029/100000: episode: 2445, duration: 2.453s, episode steps:  25, steps per second:  10, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.920 [0.000, 3.000],  loss: 0.001217, mae: 0.263964, mean_q: 0.372018, mean_eps: 0.914486
 95104/100000: episode: 2446, duration: 7.331s, episode steps:  75, steps per second:  10, episode reward:  1.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 1.880 [0.000, 3.000],  loss: 0.001484, mae: 0.257017, mean_q: 0.362815, mean_eps: 0.914441
 95225/100000: episode: 2447, duration: 11.162s, episode steps: 121, steps per second:  11, episode reward:  2.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 1.587 [0.000, 3.000],  loss: 0.001996, mae: 0.260650, mean_q: 0.368729, mean_eps: 0.914352
 95280/100000: episode: 2448, duration: 4.616s, episode steps:  55, steps per second:  12, episode reward:  1.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 1.709 [0.000, 3.000],  loss: 0.001901, mae: 0.250131, mean_q: 0.354784, mean_eps: 0.914273
 95316/100000: episode: 2449, duration: 3.056s, episode steps:  36, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.556 [0.000, 3.000],  loss: 0.001533, mae: 0.243769, mean_q: 0.340360, mean_eps: 0.914232
 95369/100000: episode: 2450, duration: 5.717s, episode steps:  53, steps per second:   9, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.623 [0.000, 3.000],  loss: 0.001762, mae: 0.262203, mean_q: 0.367753, mean_eps: 0.914192
 95397/100000: episode: 2451, duration: 2.471s, episode steps:  28, steps per second:  11, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.179 [0.000, 3.000],  loss: 0.002408, mae: 0.255474, mean_q: 0.358043, mean_eps: 0.914156
 95423/100000: episode: 2452, duration: 2.162s, episode steps:  26, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.692 [0.000, 3.000],  loss: 0.002238, mae: 0.285513, mean_q: 0.398143, mean_eps: 0.914131
 95451/100000: episode: 2453, duration: 2.357s, episode steps:  28, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.536 [0.000, 3.000],  loss: 0.002332, mae: 0.270271, mean_q: 0.386063, mean_eps: 0.914107
 95483/100000: episode: 2454, duration: 3.881s, episode steps:  32, steps per second:   8, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.562 [0.000, 3.000],  loss: 0.001597, mae: 0.280177, mean_q: 0.398581, mean_eps: 0.914080
 95508/100000: episode: 2455, duration: 2.378s, episode steps:  25, steps per second:  11, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.760 [0.000, 3.000],  loss: 0.001482, mae: 0.260901, mean_q: 0.373315, mean_eps: 0.914054
 95533/100000: episode: 2456, duration: 2.108s, episode steps:  25, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.600 [0.000, 3.000],  loss: 0.001811, mae: 0.279468, mean_q: 0.394193, mean_eps: 0.914032
 95610/100000: episode: 2457, duration: 6.643s, episode steps:  77, steps per second:  12, episode reward:  1.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 1.584 [0.000, 3.000],  loss: 0.001920, mae: 0.269447, mean_q: 0.378179, mean_eps: 0.913986
 95636/100000: episode: 2458, duration: 3.298s, episode steps:  26, steps per second:   8, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.423 [0.000, 3.000],  loss: 0.002714, mae: 0.257056, mean_q: 0.358618, mean_eps: 0.913940
 95665/100000: episode: 2459, duration: 2.413s, episode steps:  29, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.517 [0.000, 3.000],  loss: 0.003224, mae: 0.271799, mean_q: 0.378768, mean_eps: 0.913915
 95692/100000: episode: 2460, duration: 2.237s, episode steps:  27, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.296 [0.000, 3.000],  loss: 0.001607, mae: 0.266425, mean_q: 0.369441, mean_eps: 0.913890
 95718/100000: episode: 2461, duration: 2.265s, episode steps:  26, steps per second:  11, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.769 [0.000, 3.000],  loss: 0.001995, mae: 0.250539, mean_q: 0.355071, mean_eps: 0.913866
 95750/100000: episode: 2462, duration: 2.689s, episode steps:  32, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.500 [0.000, 3.000],  loss: 0.002187, mae: 0.274108, mean_q: 0.388225, mean_eps: 0.913840
 95780/100000: episode: 2463, duration: 3.766s, episode steps:  30, steps per second:   8, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.500 [0.000, 3.000],  loss: 0.001727, mae: 0.270051, mean_q: 0.377377, mean_eps: 0.913812
 95836/100000: episode: 2464, duration: 4.642s, episode steps:  56, steps per second:  12, episode reward:  1.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 1.679 [0.000, 3.000],  loss: 0.001670, mae: 0.257903, mean_q: 0.362371, mean_eps: 0.913773
 95862/100000: episode: 2465, duration: 2.275s, episode steps:  26, steps per second:  11, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.615 [0.000, 3.000],  loss: 0.002002, mae: 0.265120, mean_q: 0.371129, mean_eps: 0.913736
 95889/100000: episode: 2466, duration: 2.309s, episode steps:  27, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.407 [0.000, 3.000],  loss: 0.001434, mae: 0.276824, mean_q: 0.396281, mean_eps: 0.913713
 95915/100000: episode: 2467, duration: 3.412s, episode steps:  26, steps per second:   8, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.500 [0.000, 3.000],  loss: 0.001294, mae: 0.267906, mean_q: 0.375524, mean_eps: 0.913689
 95968/100000: episode: 2468, duration: 4.484s, episode steps:  53, steps per second:  12, episode reward:  1.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 1.377 [0.000, 3.000],  loss: 0.001974, mae: 0.273294, mean_q: 0.384883, mean_eps: 0.913653
 96040/100000: episode: 2469, duration: 5.933s, episode steps:  72, steps per second:  12, episode reward:  1.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 1.833 [0.000, 3.000],  loss: 0.002449, mae: 0.272088, mean_q: 0.379870, mean_eps: 0.913597
 96100/100000: episode: 2470, duration: 6.170s, episode steps:  60, steps per second:  10, episode reward:  1.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 1.500 [0.000, 3.000],  loss: 0.002099, mae: 0.266880, mean_q: 0.378303, mean_eps: 0.913537
 96125/100000: episode: 2471, duration: 2.109s, episode steps:  25, steps per second:  12, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 1.560 [0.000, 3.000],  loss: 0.001793, mae: 0.264314, mean_q: 0.366847, mean_eps: 0.913499
